ingredient_id,ingredient_name,Calcium,Calories,Carbohydrates,Fat,Fiber,Iron,Potassium,Saturated Fat,Sodium,Sugar,Vitamin D
1, Egg whites,129.0,,,,,2.96,2079.0,,2303.0,,
2, Egg whites dried,1565.0,,,,,0.0,14381.0,,18760.0,,
3, Egg yolk,1790.0,,,,,61.92,1537.0,,988.0,,
4, Egg yolks dried,2470.0,,,,,83.71,2077.0,,1322.0,,
5, Whole eggs,769.0,,,,,24.79,1633.0,,1700.0,,
6, Whole eggs dried,1691.0,,,,,53.4,3717.0,,3709.0,,
7,ALMOND MILK UNSWEETENED PLAIN SHELF STABLE,4836.92,,,19.54,0.0,8.116,862.1666,1.66,1668.3,,
8,APPLE JUICE FROM CONCENTRATE WITH ADDED VITAMIN C SHELF STABLE,56.79,,,2.29,,0.32125,766.95,,38.975,,
9,APPLES FUJI,49.0,,,1.3,16.6,0.12,830.0,,8.0,,
10,APPLES FUJI WITH SKIN RAW,47.8,,,1.3,16.6,0.12,830.1,,8.1,,
11,APPLES GALA,53.0,,,1.2000000000000002,16.8,0.47,847.0,,2.0,,
12,APPLES GALA WITH SKIN RAW,53.11,,,1.2000000000000002,16.87,0.481,846.9,,2.23,,
13,APPLES GRANNY SMITH,45.0,,,1.1,20.1,0.55,927.0,,0.0,,
14,APPLES GRANNY SMITH WITH SKIN RAW,43.86,,,1.1,20.11,0.557,927.4,,0.0,,
15,APPLES HONEYCRISP,31.0,,,0.8,13.7,0.0,785.0,,1.0,,
16,APPLES HONEYCRISP WITH SKIN RAW,30.994999999999997,,,0.8,13.765,0.0,784.3,,1.1,,
17,APPLES RED DELICIOUS,38.0,,,1.7,16.3,0.0,762.0,,0.0,,
18,APPLES RED DELICIOUS WITH SKIN RAW,37.25,,,1.7,16.345,0.0,762.5,,0.0,,
19,Almond butter creamy,263.8,645.456,,53.04,9.718,4.108,745.4,4.253,0.9963,,
20,Almond milk unsweetened plain refrigerated,157.5,19.33,,1.558,0.0,0.1247,49.27,,59.22,,63.6
21,Almond milk unsweetened plain shelf stable,345.4,29.1124,0.0,2.442,0.0,0.5798,61.58,0.2076,119.16,0.0,74.2
22,Almonds dry roasted salted,3551.0,,,750.7,,41.2,8886.0,,3321.0,,
23,Almonds dry roasted salted - NFY1213I4,,,,,11.5,,,,,,
24,Almonds dry roasted salted - NFY1213IK,,,,,11.0,,,,,,
25,Almonds dry roasted salted - NFY1213J8,,,,,10.7,,,,,,
26,Almonds dry roasted salted - NFY1213JZ,,,,,10.9,,,,,,
27,Almonds dry roasted salted - NFY1213KL,,,,,10.6,,,,,,
28,Almonds dry roasted salted - NFY1213L0,,,,,11.2,,,,,,
